@relation CarStarts

@attribute Alternator {Ok,Faulted}
@attribute FanBelt {Ok,Slipping,Broken}
@attribute Leak {Leak,NoLeak}
@attribute Charge {Good,Low}
@attribute BatteryAge {New,Old}
@attribute BatteryState {Ok,Weak}
@attribute BatteryPower {Good,Poor}
@attribute GasInTank {Gas,NoGas}
@attribute GasGauge {Gas,NoGas}
@attribute Lights {Work,NoLight}
@attribute Radio {Works,Dead}
@attribute Starter {Ok,Faulted}
@attribute Leak2 {True,False}
@attribute EngineCranks {Cranks,NoCrank}
@attribute FuelPump {Ok,Faulted}
@attribute Distributor {Ok,Faulted}
@attribute SparkPlugs {Ok,Bad}
@attribute Starts {Yes,No}

@data
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Works,Faulted,False,NoCrank,Ok,Ok,Ok,No
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Weak,Poor,NoGas,NoGas,NoLight,Dead,Ok,False,NoCrank,Ok,Ok,Ok,No
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,Gas,Gas,NoLight,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Broken,NoLeak,Low,New,Ok,Poor,NoGas,NoGas,NoLight,Dead,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Weak,Poor,Gas,NoGas,NoLight,Dead,Ok,False,NoCrank,Ok,Ok,Ok,No
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,NoGas,NoGas,Work,Dead,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Weak,Poor,Gas,NoGas,NoLight,Works,Ok,False,NoCrank,Ok,Ok,Ok,No
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,NoLight,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Weak,Poor,Gas,NoGas,NoLight,Dead,Ok,False,NoCrank,Ok,Ok,Ok,No
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,NoLight,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Weak,Poor,Gas,NoGas,NoLight,Dead,Ok,False,NoCrank,Ok,Ok,Ok,No
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Dead,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Dead,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,NoGas,NoGas,NoLight,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,Old,Ok,Good,NoGas,NoGas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
Ok,Ok,NoLeak,Good,New,Ok,Good,Gas,Gas,Work,Works,Ok,False,Cranks,Ok,Ok,Ok,Yes
