@relation Elimbel2

@attribute h {true,false}
@attribute y {good,bad,ugly}
@attribute x {good,bad,ugly}
@attribute da {good,bad,ugly}
@attribute ob {good,bad,ugly}
@attribute db {good,bad,ugly}
@attribute oa {good,bad,ugly}
@attribute sb {good,bad,ugly}
@attribute sa {good,bad,ugly}
@attribute g {true,false}

@data
false,good,good,bad,bad,ugly,good,bad,ugly,false
false,good,good,bad,ugly,good,good,good,bad,true
true,good,good,good,bad,ugly,good,good,ugly,false
true,good,good,good,good,ugly,good,ugly,bad,false
true,good,good,ugly,good,bad,good,ugly,bad,false
true,good,good,good,bad,good,good,good,bad,false
false,good,good,ugly,ugly,ugly,bad,bad,ugly,false
false,good,good,good,ugly,good,good,good,good,false
false,good,good,ugly,ugly,good,good,bad,bad,false
false,good,good,ugly,good,ugly,good,ugly,ugly,false
false,good,good,ugly,ugly,ugly,good,bad,ugly,false
false,good,good,ugly,ugly,bad,good,ugly,bad,false
true,good,good,good,good,good,good,bad,good,true
false,good,good,ugly,bad,ugly,bad,bad,good,false
true,good,good,bad,ugly,bad,good,good,ugly,false
false,good,good,good,ugly,bad,good,good,bad,false
false,good,bad,bad,bad,good,ugly,bad,bad,false
false,good,good,good,ugly,bad,good,good,ugly,false
true,good,bad,good,ugly,bad,bad,good,good,true
false,good,good,good,ugly,ugly,good,good,ugly,false
true,good,good,good,good,good,good,bad,bad,true
true,ugly,good,ugly,good,ugly,bad,ugly,bad,false
false,good,bad,ugly,ugly,good,good,bad,bad,true
false,good,good,ugly,ugly,good,bad,bad,good,false
false,good,good,ugly,good,ugly,ugly,ugly,bad,false
false,bad,good,good,ugly,ugly,good,good,ugly,false
true,good,good,ugly,good,good,good,ugly,good,false
false,good,good,ugly,ugly,good,good,bad,good,true
true,good,good,ugly,bad,good,bad,bad,good,true
false,good,good,good,bad,bad,good,ugly,good,false
true,good,good,good,good,ugly,good,ugly,ugly,true
true,good,good,bad,bad,bad,good,good,bad,true
false,good,good,good,ugly,good,ugly,good,good,false
true,good,good,bad,ugly,ugly,good,bad,ugly,false
false,good,good,ugly,bad,good,good,ugly,good,false
false,good,good,bad,ugly,good,good,good,bad,false
true,good,good,ugly,good,ugly,good,ugly,ugly,false
false,good,good,ugly,good,bad,bad,ugly,bad,true
true,good,good,ugly,good,good,bad,ugly,good,false
false,good,good,good,ugly,ugly,good,bad,bad,true
false,good,good,ugly,ugly,ugly,good,bad,ugly,false
true,good,good,ugly,good,good,good,ugly,ugly,true
false,good,good,ugly,ugly,ugly,bad,ugly,ugly,false
true,good,good,good,good,bad,bad,good,good,false
true,good,good,ugly,good,good,bad,ugly,bad,true
true,good,good,bad,ugly,bad,good,good,bad,false
true,bad,good,ugly,bad,good,good,ugly,bad,false
true,good,good,good,bad,ugly,good,good,ugly,false
true,good,good,bad,bad,bad,good,bad,ugly,true
true,good,good,ugly,bad,good,good,ugly,bad,false
false,good,good,bad,ugly,ugly,good,good,ugly,false
false,good,good,ugly,good,ugly,good,ugly,ugly,true
true,good,good,good,bad,ugly,good,good,ugly,false
true,good,good,ugly,good,good,good,ugly,bad,false
true,good,good,ugly,ugly,good,bad,bad,bad,true
