CaseId,Cloudy,Sprinkler,Rain,WetGrass
0,True,True,True,True
1,True,False,False,False
2,False,True,False,False
3,False,False,True,True
4,False,True,False,True
5,True,False,True,True
6,True,False,False,False
7,False,False,False,False
8,True,False,True,True
9,False,False,True,True
10,True,False,False,False
11,False,True,False,True
12,False,False,False,False
13,True,False,True,True
14,False,False,False,False
15,True,False,True,True
16,False,False,False,False
17,True,False,True,True
18,True,True,True,True
19,False,False,False,False
20,True,False,True,True
21,True,False,True,True
22,True,False,True,True
23,True,False,True,False
24,False,False,False,False
25,False,True,False,True
26,False,False,False,False
27,False,False,False,False
28,True,False,True,True
29,True,False,True,True
30,True,False,False,False
31,True,False,True,True
32,True,True,True,True
33,False,True,False,True
34,False,False,False,False
35,True,True,True,True
36,False,False,False,False
37,False,False,False,False
38,True,False,False,False
39,True,False,True,True
40,False,False,True,True
41,False,False,False,False
42,True,False,True,True
43,True,False,True,True
44,True,False,True,True
45,False,False,False,False
46,False,True,False,True
47,True,False,True,True
48,True,False,True,True
49,False,False,False,False
50,True,False,True,True
51,True,False,True,True
52,True,False,True,True
53,False,True,False,True
54,False,True,True,True
55,False,False,False,False
56,True,False,True,True
57,False,True,False,True
58,False,False,False,False
59,True,False,True,True
60,True,False,True,True
61,True,False,True,False
62,True,False,False,False
63,False,True,False,True
64,False,False,True,True
65,False,False,False,False
66,True,False,True,True
67,False,False,False,False
68,False,True,False,True
69,True,False,True,False
70,True,False,True,False
71,False,False,False,False
72,True,False,True,True
73,False,False,True,True
74,False,True,False,True
75,False,False,False,False
76,True,False,False,False
77,False,False,False,False
78,False,True,False,True
79,False,False,False,False
80,False,True,False,True
81,False,True,False,True
82,True,False,False,False
83,False,False,True,True
84,False,True,False,True
85,False,False,False,False
86,False,True,False,True
87,True,False,True,True
88,True,False,False,False
89,True,False,True,True
90,True,False,True,True
91,True,False,True,False
92,False,True,False,True
93,True,False,True,True
94,True,False,True,True
95,True,True,True,True
96,True,False,True,True
97,False,False,True,False
98,True,False,True,True
99,False,True,False,True
101,True,True,True,True
102,False,True,True,True
103,True,False,True,True
104,True,False,False,False
105,True,False,True,True
106,True,True,True,True
107,False,False,True,True
108,False,False,False,False
109,False,True,True,True
110,False,True,False,False
111,True,False,False,False
112,False,True,False,True
113,False,False,False,False
114,True,False,True,True
115,False,True,False,True
116,True,True,True,True
117,False,True,False,True
118,True,False,False,False
119,False,True,False,True
120,True,False,True,True
121,False,False,False,False
122,False,False,True,False
123,False,True,True,True
124,True,False,False,False
125,True,False,True,True
126,True,False,False,False
127,False,False,True,True
128,False,False,False,False
129,True,False,True,True
130,False,True,False,True
131,True,True,True,True
132,True,False,True,False
133,False,True,False,True
134,False,True,False,True
135,False,False,False,False
136,False,True,True,True
137,True,False,True,True
138,False,False,False,False
139,True,False,True,True
140,True,False,True,True
141,True,False,False,False
142,False,True,False,True
143,False,False,False,False
144,True,False,True,True
145,False,True,True,True
146,True,False,True,True
147,False,False,False,False
148,True,False,True,True
149,False,False,False,False
150,True,False,True,True
151,True,False,True,True
152,True,False,True,True
153,True,True,True,True
154,False,True,False,True
155,True,False,True,False
156,False,True,False,True
157,True,False,True,True
158,True,False,True,True
159,False,True,False,True
160,True,False,True,True
161,False,True,False,True
162,True,False,True,True
163,True,False,True,True
164,True,False,True,True
165,True,True,False,True
166,False,False,True,True
167,False,True,False,True
168,False,True,False,True
169,False,False,False,False
170,True,False,True,True
171,True,False,True,True
172,True,False,True,True
173,False,False,True,True
